url,name,birth,death
http://www.phil.muni.cz/fil/scf/komplet/bohuml.html,Mistr Bohumil,* 13. století,
http://www.phil.muni.cz/fil/scf/komplet/boll.html,Antonín Boll,* 30. 7. 1721 Praha,† 22. 7. 1792 Kučerov
http://www.phil.muni.cz/fil/scf/komplet/bolzno.html,Bernard Bolzano,* 5. 10. 1781 Praha,† 18. 12. 1848 Praha
http://www.phil.muni.cz/fil/scf/komplet/bondy.html,Egon Bondy,* 20. 1. 1930 Praha,† 9. 4. 2007 Bratislava
http://www.phil.muni.cz/fil/scf/komplet/borec.html,Vladimír Borecký,* 6. 12. 1941 Praha,† 6. 2. 2009 Praha
http://www.phil.muni.cz/fil/scf/komplet/borek.html,Edmund Borek,* 4. 11. 1880 Vídeň,† 1. 3. 1924 Vídeň
http://www.phil.muni.cz/fil/scf/komplet/bornia.html,Ignác Antonín Born,* 26. 12. 1742 Karlovský Bělehrad (Alba Iulia),† 24. 7. 1791 Vídeň
http://www.phil.muni.cz/fil/scf/komplet/borsky.html,Lev Borský,* 2. 9. 1883 Kolín,† říjen 1944 Osvětim
http://www.phil.muni.cz/fil/scf/komplet/boriv.html,Bořivoj z Prahy,* 14.–15. století,
http://www.phil.muni.cz/fil/scf/komplet/boubl.html,Vladimír Boublík,* 16. 9. 1928 Mokrosuky,† 24. 9. 1974 Klatovy
http://www.phil.muni.cz/fil/scf/komplet/brahe.html,Tycho (Tyge) Brahe,* 14. 12. 1546 Knutstorpa ve Scanii (Dánsko),† 24. 10. 1601 Praha
http://www.phil.muni.cz/fil/scf/komplet/braito.html,Silvestr Maria Braito,"* 14. 6. 1898 Ruščuk (Ruse, Bulharsko)",† 25. 9. 1962 Praha-Břevnov
http://www.phil.muni.cz/fil/scf/komplet/bratrn.html,František Tomáš Bratranek,* 3. 11. 1815 Jedovnice (u Blanska),† 2. 8. 1884 Brno
http://www.phil.muni.cz/fil/scf/komplet/bridel.html,Fridrich Bridel,* 1. 4. 1619 Vysoké Mýto,† 15. 10. 1680 Kutná Hora
http://www.phil.muni.cz/fil/scf/komplet/brikci.html,Brikcí z Licka,* asi 1488 Kouřim (Licko),† 1543 Praha (nebo Čáslav)
http://www.phil.muni.cz/fil/scf/komplet/brkc.html,Brikcí ze Žatce,,
http://www.phil.muni.cz/fil/scf/komplet/brodm.html,Max Brod,* 27. 5. 1884 Praha,† 20. 12. 1968 Tel Aviv
http://www.phil.muni.cz/fil/scf/komplet/brozs.html,Pavel Brosz,* 5. 6. 1913 Stará Lesná (Altwaldorf),
http://www.phil.muni.cz/fil/scf/komplet/brouk.html,Bohuslav Brouk,* 19. 11. 1912 Praha,† 20. 1. 1978 Londýn
http://www.phil.muni.cz/fil/scf/komplet/broz.html,Luděk Brož,* 2. 5. 1922 Praha,† 20. 8. 2003 Praha
http://www.phil.muni.cz/fil/scf/komplet/brozek.html,Josef Brožek,* 14. 8. 1913 Mělník nad Labem,† 18. 1. 2004
http://www.phil.muni.cz/fil/scf/komplet/brozik.html,Vladimír Brožík,* 3. 12. 1930 Přešín,† 9. 6. 2008 Myjava
http://www.phil.muni.cz/fil/scf/komplet/bruna.html,Eduard Bruna,* 27. 8. 1822 Praha,† 24. 6. 1889 Kyselka u Karlových Varů
http://www.phil.muni.cz/fil/scf/komplet/brez.html,Jan Březina,* 25. 2. 1930 Milkov,† 8. 7. 1994 Šternberk
http://www.phil.muni.cz/fil/scf/komplet/brezna.html,Otokar Březina,* 13. 9. 1868 Počátky,† 25.  3. 1929 Jaroměřice nad Rokytnou
http://www.phil.muni.cz/fil/scf/komplet/bucek.html,Josef Ignác Buček,* 6. 5. 1741 Příbor,† 26. 3. 1821 Praha
http://www.phil.muni.cz/fil/scf/komplet/bulin.html,Hynek Bulín,* 23. 11. 1908 Brno,† 22. 12. 1996 Brno
http://www.phil.muni.cz/fil/scf/komplet/bulova.html,Josef Adolf Bulova,* 29. 12. 1840 Mělník,† 1. 12. 1903 Praha
http://www.phil.muni.cz/fil/scf/komplet/buzek.html,Bonifác Buzek,* 31. 1. 1788 Příbor,† 21. 6. 1839 Brno
http://www.phil.muni.cz/fil/scf/komplet/buzekk.html,Buzek z Kdyně,,
http://www.phil.muni.cz/fil/scf/komplet/byrdin.html,Ivan Byrdin,* 19. 7. 1879 Ryl'sk Kurskij (Rusko),† 17. 7. 1943 Praha
http://www.phil.muni.cz/fil/scf/komplet/lobkjc.html,Jan Caramuel z Lobkovic,* 13. 5. 1606 Madrid,† 8. 9. 1682 Vigevana
http://www.phil.muni.cz/fil/scf/komplet/carnap.html,Rudolf Carnap,* 18. 5. 1891 Ronsdorf u Barmen,† 14. 9. 1970 Sante Monica (Kalifornie)
http://www.phil.muni.cz/fil/scf/komplet/cetl.html,Jiří Cetl,* 31. 12. 1925 Brno,† 22. 7. 2002  
http://www.phil.muni.cz/fil/scf/komplet/cibul.html,Josef Cibulka,* 11. 2. 1926 Plzeň,
http://www.phil.muni.cz/fil/scf/komplet/ciger.html,Juraj Cíger,* 17. 10. 1914 Rudno,† 9. 12. 2006
http://www.phil.muni.cz/fil/scf/komplet/cirbes.html,Vladimír Cirbes,* 21. 9. 1926 Rybník (okr. Revúca),† 29. 10. 2006
http://www.phil.muni.cz/fil/scf/komplet/clemnt.html,Vladimír Clementis,* 20. 9. 1902 Tisovec,† 3. 12. 1952 Praha
http://www.phil.muni.cz/fil/scf/komplet/cmorej.html,Pavel Cmorej,* 1. 1. 1937 Spišské Podhradie,
http://www.phil.muni.cz/fil/scf/komplet/cornov.html,Ignác Cornova,* 25. 7. 1740 Praha,† 25. 7. 1822 Praha
http://www.phil.muni.cz/fil/scf/komplet/coufal.html,Josef Coufal,* 15. 10. 1930 Ludslavice,
http://www.phil.muni.cz/fil/scf/komplet/ctibzr.html,Ctibor z Radče,,
http://www.phil.muni.cz/fil/scf/komplet/ctizve.html,Ctibor z Velvar,* 14.–15. století,
http://www.phil.muni.cz/fil/scf/komplet/cvekl.html,Jiří Cvekl,* 14. 9. 1919 Nižbor,† 11.5. 1995 Praha
http://www.phil.muni.cz/fil/scf/komplet/cadaf.html,František Čáda,* 6. 4. 1865 Praha,† 14. 12. 1918 Praha
http://www.phil.muni.cz/fil/scf/komplet/cala.html,Antonín Čala,* 4. 7. 1907 Všemina u Zlína,† 26. 5. 1984 Olomouc
http://www.phil.muni.cz/fil/scf/komplet/calek.html,Oldřich Čálek,* 1. 7. 1946 Loket nad Ohří,† 13. 11. 2019
http://www.phil.muni.cz/fil/scf/komplet/capkjb.html,Jan Blahoslav Čapek,* 6. 11. 1903 Třebechovice pod Orebem,† 10. 9. 1982 Praha
http://www.phil.muni.cz/fil/scf/komplet/capekj.html,Josef Čapek,* 23. 3. 1887 Hronov,† mezi 5. a 24. 4. 1945 Bergen-Belsen
http://www.phil.muni.cz/fil/scf/komplet/capekk.html,Karel Čapek,* 9. 1. 1890 Malé Svatoňovice,† 25. 12. 1938 Praha
http://www.phil.muni.cz/fil/scf/komplet/capmil.html,Milič Čapek,* 26.1. 1909 Třebechovice pod Orebem,† 17. 11.1997 Little Rock (Arkansas)
